id,name,avg_user_rating,user_ratings_count,reviews_count,added,avg_playtime,esrb_rating,release_year,release_month,release_quarter,critic_rating,rating_gap,genre_count,is_action,is_adventure,is_arcade,is_board_games,is_card,is_casual,is_educational,is_family,is_fighting,is_indie,is_massively_multiplayer,is_platformer,is_puzzle,is_rpg,is_racing,is_shooter,is_simulation,is_sports,is_strategy,platform_type,platform_count,store_count
845261,Assassin's Creed Mirage,3.4,141,148,896,8,,2023,10,4,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,multi_platform,6,3
61442,Stoneshard: Prologue,3.16,81,81,896,1,,2018,6,2,,,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,pc_only,2,2
2838,Chariot,3.2,90,90,896,3,Everyone,2014,9,3,3.8,-0.5999999999999996,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,multi_platform,6,5
284763,Colt Canyon,3.18,17,17,895,4,Teen,2020,6,2,,,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,multi_platform,4,6
20120,Missing Translation,2.98,42,42,894,1,Everyone,2015,9,3,,,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,pc_only,3,2
376929,Super Bit Blaster XL,2.64,11,11,893,1,Everyone,2020,3,1,,,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,multi_platform,4,2
21098,Slipstream 5000,2.03,29,29,893,4,Teen,1995,12,4,,,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,pc_only,3,2
17780,Epigenesis,2.12,25,25,893,4,,2013,11,4,,,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,pc_only,1,1
1009,Batman: Return to Arkham,4.42,154,154,893,0,Teen,2016,10,4,3.75,0.6699999999999999,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,console_only,2,2
61536,CHRONO TRIGGER (HD),4.4,65,67,892,3,,2011,12,4,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pc_only,3,3
58818,Tetris Effect,4.38,297,301,892,0,Everyone 10+,2018,11,4,4.5,-0.1200000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,multi_platform,2,2
21615,Zombie Shooter 2,3.21,57,57,892,1,,2009,7,3,,,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,pc_only,1,2
